dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
finance,TinyMLP,0.3,2025,6,2,4,142,300,4.18,-0.11620427957941537,0.13231442494859222,0.1081545165397566,85.2244663196017,0.11848713845579832,0.017507107049476642
finance,TinyMLP,0.3,2026,6,2,4,142,300,3.58,-0.13818340400713325,0.13361077294430357,0.10822586839033736,84.93352200126441,0.11848713845579832,0.01785183864677424
finance,TinyMLP,0.3,2027,6,2,4,142,300,3.8,-0.14253466255710112,0.1338659253339043,0.11134185723913033,84.87592307566148,0.11848713845579832,0.017920085965502437
mackey_glass_tau17,LSTM-AE,0.1,2023,6,2,4,2597,300,128.46,0.9255198176442061,0.060580894836266344,0.04604948459622431,69.52924173635593,0.012044481425136196,0.0036700448191627623
mackey_glass_tau17,LSTM-AE,0.1,2024,6,2,4,2597,300,137.95,0.9328915763364509,0.05750476554935407,0.04657407370793458,72.54511884600473,0.012044481425136196,0.003306798060886178
mackey_glass_tau17,LSTM-AE,0.1,2025,6,2,4,2597,300,133.7,0.9309836194396901,0.05831649426781443,0.046381017587769954,71.76455022305306,0.012044481425136196,0.003400813503688033
mackey_glass_tau17,LSTM-AE,0.1,2026,6,2,4,2597,300,162.46,0.9273721506065188,0.05982282399718965,0.04809323356316638,70.2870539238823,0.012044481425136196,0.0035787702709987293
mackey_glass_tau17,LSTM-AE,0.1,2027,6,2,4,2597,300,112.52,0.9328279788375091,0.05753200723542084,0.04444257854401942,72.51910032731786,0.012044481425136196,0.0033099318565365157
mackey_glass_tau17,LSTM-AE,0.2,2023,6,2,4,2597,300,119.61,0.7848432235196889,0.10296576080814936,0.07672201578156197,77.99417939929876,0.048177925700544785,0.010601947898801025
mackey_glass_tau17,LSTM-AE,0.2,2024,6,2,4,2597,300,104.37,0.7958885786564154,0.10028800031381704,0.07721312294314063,79.12387704390014,0.048177925700544785,0.010057683006944167
mackey_glass_tau17,LSTM-AE,0.2,2025,6,2,4,2597,300,133.3,0.8148850416338572,0.09550719168912372,0.07397504143927389,81.06679868070809,0.048177925700544785,0.009121623664343022
mackey_glass_tau17,LSTM-AE,0.2,2026,6,2,4,2597,300,143.85,0.8041092562522866,0.09824767368268347,0.07667383896515187,79.96467211134018,0.048177925700544785,0.009652605384059054
mackey_glass_tau17,LSTM-AE,0.2,2027,6,2,4,2597,300,154.3,0.8161795719167452,0.095172659396471,0.07066622145029261,81.19920074414027,0.048177925700544785,0.00905783509659668
mackey_glass_tau17,LSTM-AE,0.3,2023,6,2,4,2597,300,95.56,0.6614301522091609,0.12916339670975924,0.10141000754020656,84.60965698661913,0.10840033282622573,0.016683183049602646
mackey_glass_tau17,LSTM-AE,0.3,2024,6,2,4,2597,300,97.73,0.6703622322842567,0.12744822770988232,0.10019134006720107,85.01568184995438,0.10840033282622573,0.016243050746390014
mackey_glass_tau17,LSTM-AE,0.3,2025,6,2,4,2597,300,93.96,0.6949378472849035,0.12260536755560038,0.0969440067109979,86.13281365331095,0.10840033282622573,0.015032076153443865
mackey_glass_tau17,LSTM-AE,0.3,2026,6,2,4,2597,300,91.78,0.66507135656906,0.12846696482249703,0.10037487480424072,84.77517492758854,0.10840033282622573,0.01650376105070469
mackey_glass_tau17,LSTM-AE,0.3,2027,6,2,4,2597,300,96.69,0.6829447006591978,0.12499217536096674,0.09595305174317861,85.58764212789676,0.10840033282622573,0.015623043901466661
mackey_glass_tau17,MLP-AE,0.1,2023,6,2,4,19238,300,47.86,0.9172888717720014,0.06384064861848372,0.05221421302277488,66.16186058850913,0.012044481425136196,0.004075628416028708
mackey_glass_tau17,MLP-AE,0.1,2024,6,2,4,19238,300,32.38,0.9398133686258883,0.05445845757557736,0.04260711485943694,75.37690916836279,0.012044481425136196,0.0029657236015109586
mackey_glass_tau17,MLP-AE,0.1,2025,6,2,4,19238,300,37.9,0.9389414562140607,0.054851503914488904,0.04309613191811981,75.02019908136336,0.012044481425136196,0.0030086874816811914
mackey_glass_tau17,MLP-AE,0.1,2026,6,2,4,19238,300,29.01,0.9438351792190245,0.052607481003893064,0.03972915596520969,77.02228132629068,0.012044481425136196,0.0027675470575749695
mackey_glass_tau17,MLP-AE,0.1,2027,6,2,4,19238,300,33.45,0.9512672872502574,0.04900333211328875,0.036038854706138844,80.06284809245639,0.012044481425136196,0.0024013265582052763
mackey_glass_tau17,MLP-AE,0.2,2023,6,2,4,19238,300,26.98,0.7955621489426479,0.10036816217992114,0.07518513940377712,79.09049044164007,0.048177925700544785,0.010073767979374953
